Page URL,Ratio,Discovered
https://thetaxcalc.com/compare/florida-vs-california,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/florida-vs-new-york,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/illinois-vs-california,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/illinois-vs-florida,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/illinois-vs-new-york,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/illinois-vs-texas,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/texas-vs-california,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/texas-vs-florida,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/compare/texas-vs-new-york,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/employee-cost-calculator,0.08,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/florida-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/georgia-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/glossary,0.10,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/indiana-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/job-offer-comparison-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/lottery-tax-calculator,0.07,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/maryland-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/massachusetts-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/methodology,0.10,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/missouri-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/mortgage-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/new-jersey-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/new-york-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/north-carolina-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/ohio-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/oregon-tax-calculator,0.05,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/overtime-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/paycheck-difference-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/pennsylvania-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/privacy,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/property-tax-calculator,0.07,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/relocation-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/salary,0.01,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/salary-comparison-calculator,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/100000-after-taxes,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/150000-after-taxes,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/50000-after-taxes,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/75000-after-taxes,0.06,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/sales-tax-calculator,0.07,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/self-employment-tax-calculator,0.07,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/tax-data,0.04,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/terms,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/texas-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/virginia-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/washington-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/wisconsin-tax-calculator,0.05,18 Jun 2026 (17:26 UTC)
